#Creator: pendulumEventBuffer
#Creation time: Thu Mar 20 14:45:03 2025
#Time	Period	Transit time
#[s]	[s]	[s]
487.242197	2.148137	0.091078
488.316253	2.148180	0.091334
489.390377	2.148112	0.091582
490.464365	2.148027	0.091826
491.538404	2.148131	0.092080
492.612496	2.148140	0.092328
493.686544	2.148096	0.092572
494.760592	2.148144	0.092824
495.834688	2.148110	0.093080
496.908702	2.148061	0.093348
497.982749	2.148109	0.093610
499.056811	2.148131	0.093874
500.130880	2.148062	0.094128
501.204873	2.147974	0.094382
502.278854	2.148026	0.094648
503.352899	2.148114	0.094882
504.426968	2.148133	0.095148
505.501032	2.148027	0.095448
506.574995	2.147960	0.095730
507.648992	2.148048	0.095988
508.723043	2.148082	0.096250
509.797074	2.148008	0.096540
510.871051	2.147981	0.096814
511.945055	2.148014	0.097062
513.019065	2.148010	0.097338
514.093065	2.148019	0.097614
515.167084	2.147982	0.097888
516.241047	2.147960	0.098174
517.315044	2.147954	0.098452
