#Creator: pendulumEventBuffer
#Creation time: Thu Mar 20 14:45:03 2025
#Time	Period	Transit time
#[s]	[s]	[s]
295.384843	2.149852	0.049782
296.459766	2.149852	0.049896
297.534695	2.149842	0.050006
298.609608	2.149835	0.050108
299.684530	2.149782	0.050216
300.759390	2.149819	0.050332
301.834349	2.149850	0.050450
302.909240	2.149782	0.050564
303.984131	2.149802	0.050674
305.059042	2.149759	0.050784
306.133890	2.149749	0.050892
307.208791	2.149789	0.051002
308.283679	2.149760	0.051118
309.358551	2.149741	0.051230
310.433420	2.149734	0.051340
311.508285	2.149736	0.051454
312.583156	2.149724	0.051572
313.658009	2.149706	0.051686
314.732862	2.149719	0.051800
315.807728	2.149723	0.051920
316.882585	2.149696	0.052038
317.957424	2.149685	0.052152
319.032270	2.149689	0.052268
320.107113	2.149681	0.052386
321.181951	2.149661	0.052510
322.256774	2.149663	0.052624
323.331614	2.149669	0.052736
324.406443	2.149661	0.052858
325.481275	2.149652	0.052978
326.556095	2.149644	0.053102
327.630919	2.149628	0.053222
328.705723	2.149598	0.053334
329.780517	2.149590	0.053454
330.855313	2.149606	0.053578
331.930123	2.149584	0.053702
333.004897	2.149555	0.053826
334.079678	2.149545	0.053944
335.154442	2.149627	0.054064
336.229305	2.149629	0.054190
337.304071	2.149555	0.054314
338.378860	2.149556	0.054432
339.453627	2.149552	0.054554
340.528412	2.149542	0.054680
341.603169	2.149544	0.054806
342.677956	2.149556	0.054932
343.752725	2.149530	0.055062
344.827486	2.149510	0.055192
345.902235	2.149504	0.055310
346.976990	2.149479	0.055424
