#Creator: pendulumEventBuffer
#Creation time: Thu Mar 20 14:45:03 2025
#Time	Period	Transit time
#[s]	[s]	[s]
406.594784	2.149428	0.058044
407.669504	2.149419	0.058184
408.744203	2.149401	0.058326
409.818905	2.149400	0.058466
410.893603	2.149402	0.058598
411.968307	2.149368	0.058734
413.042971	2.149404	0.058870
414.117711	2.149387	0.059010
415.192358	2.149337	0.059156
416.267048	2.149374	0.059292
417.341732	2.149359	0.059424
418.416407	2.149329	0.059570
419.491061	2.149327	0.059710
420.565734	2.149333	0.059852
421.640394	2.149334	0.060000
422.715068	2.149318	0.060144
423.789712	2.149346	0.060292
424.864414	2.149354	0.060432
425.939066	2.149312	0.060568
427.013726	2.149350	0.060704
428.088416	2.149370	0.060848
429.163096	2.149288	0.061000
430.237704	2.149254	0.061156
431.312350	2.149289	0.061316
432.386993	2.149281	0.061470
433.461631	2.149290	0.061618
434.536283	2.149259	0.061770
435.610890	2.149251	0.061928
436.685534	2.149295	0.062076
437.760185	2.149276	0.062222
438.834810	2.149230	0.062380
439.909415	2.149205	0.062538
440.984015	2.149219	0.062690
442.058634	2.149202	0.062840
443.133217	2.149193	0.062990
444.207827	2.149193	0.063150
445.282410	2.149167	0.063316
446.356994	2.149161	0.063468
447.431571	2.149160	0.063622
448.506154	2.149196	0.063772
449.580767	2.149223	0.063934
450.655377	2.149163	0.064102
451.729930	2.149154	0.064264
452.804531	2.149155	0.064426
453.879085	2.149150	0.064578
454.953681	2.149188	0.064734
456.028273	2.149143	0.064906
457.102824	2.149133	0.065072
458.177406	2.149127	0.065232
459.251951	2.149084	0.065406
460.326490	2.149084	0.065580
461.401035	2.149081	0.065742
462.475571	2.149095	0.065902
463.550130	2.149095	0.066064
464.624666	2.149062	0.066236
465.699192	2.149064	0.066408
466.773730	2.149042	0.066572
467.848234	2.148946	0.066748
468.922676	2.148882	0.066908
469.997116	2.148938	0.067060
471.071614	2.149013	0.067232
472.146129	2.148946	0.067410
473.220560	2.148838	0.067576
474.294967	2.148810	0.067734
475.369370	2.148832	0.067896
476.443799	2.148815	0.068058
477.518185	2.148786	0.068230
478.592585	2.148780	0.068398
479.666965	2.148769	0.068558
480.741354	2.148782	0.068728
481.815747	2.148746	0.068894
482.890100	2.148729	0.069052
483.964476	2.148775	0.069216
485.038875	2.148745	0.069382
486.113221	2.148701	0.069542
487.187576	2.148715	0.069712
488.261936	2.148724	0.069880
489.336300	2.148689	0.070048
490.410625	2.148684	0.070222
491.484984	2.148705	0.070384
492.559330	2.148701	0.070552
493.633685	2.148702	0.070730
494.708032	2.148689	0.070908
495.782374	2.148674	0.071084
496.856706	2.148694	0.071256
497.931068	2.148666	0.071432
499.005372	2.148659	0.071600
500.079727	2.148674	0.071774
501.154046	2.148633	0.071952
502.228360	2.148619	0.072120
503.302665	2.148669	0.072298
504.377029	2.148689	0.072478
505.451354	2.148643	0.072648
506.525672	2.148632	0.072820
507.599986	2.148631	0.073000
508.674303	2.148631	0.073178
509.748617	2.148633	0.073358
510.822936	2.148625	0.073544
511.897242	2.148629	0.073728
512.971565	2.148607	0.073906
514.045849	2.148587	0.074086
515.120152	2.148629	0.074268
516.194478	2.148602	0.074460
517.268754	2.148564	0.074648
518.343042	2.148577	0.074824
519.417331	2.148578	0.075002
520.491620	2.148617	0.075192
521.565948	2.148557	0.075396
522.640177	2.148538	0.075590
523.714486	2.148590	0.075772
524.788767	2.148567	0.075966
525.863053	2.148576	0.076162
526.937343	2.148566	0.076354
528.011619	2.148551	0.076546
529.085894	2.148516	0.076744
530.160135	2.148539	0.076926
