#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
31.352	521	31.378	486
31.403	525	31.429	480
31.454	534	31.479	480
31.505	540	31.530	489
31.555	546	31.580	500
31.606	554	31.632	517
31.656	563	31.682	537
31.707	563	31.733	561
31.758	567	31.783	583
31.809	560	31.834	607
31.859	560	31.885	630
31.910	560	31.936	651
31.960	552	31.986	668
32.012	552	32.037	678
32.062	547	32.087	681
32.113	542	32.139	683
32.163	536	32.189	683
32.214	537	32.240	672
32.265	525	32.290	665
32.316	521	32.341	643
32.366	517	32.391	623
32.417	512	32.443	597
32.467	513	32.493	577
32.518	515	32.544	551
32.569	513	32.594	533
32.620	515	32.645	507
32.671	520	32.696	496
32.721	522	32.747	485
32.772	532	32.797	480
32.823	530	32.848	487
32.874	536	32.898	485
32.924	540	32.950	488
32.975	543	33.000	510
33.025	546	33.051	529
33.077	547	33.101	552
33.127	548	33.152	574
33.178	548	33.202	597
33.228	553	33.254	621
33.279	560	33.304	643
33.329	540	33.355	658
33.381	547	33.405	672
33.431	544	33.456	680
33.482	539	33.507	690
33.532	542	33.558	689
33.583	535	33.608	682
33.634	532	33.659	671
33.685	531	33.709	654
33.735	530	33.761	630
33.786	529	33.811	609
33.836	527	33.862	585
33.888	515	33.912	560
33.938	527	33.963	539
33.989	528	34.014	519
34.039	527	34.065	510
34.090	529	34.115	493
34.140	531	34.166	481
34.192	534	34.216	477
34.242	534	34.267	488
34.293	533	34.318	496
34.343	533	34.369	507
34.394	535	34.419	516
34.445	535	34.470	544
34.496	533	34.520	567
34.546	537	34.572	590
34.597	535	34.622	614
34.647	527	34.673	634
34.699	541	34.723	654
34.749	541	34.774	667
34.800	537	34.825	683
34.850	539	34.876	685
34.901	538	34.926	683
34.951	538	34.977	679
35.003	538	35.027	668
35.053	538	35.078	660
35.104	539	35.129	644
35.154	539	35.180	619
35.205	539	35.230	594
35.256	543	35.281	570
35.307	539	35.331	540
35.357	539	35.383	526
35.408	538	35.433	507
35.458	528	35.484	485
35.510	534	35.534	486
35.560	532	35.585	483
35.611	532	35.636	487
35.661	532	35.687	493
35.712	524	35.738	500
35.762	526	35.788	521
35.814	526	35.839	541
35.864	525	35.889	554
35.915	526	35.941	581
35.965	524	35.991	608
36.016	531	36.042	627
36.067	526	36.092	645
36.118	527	36.143	657
36.168	532	36.194	673
36.219	528	36.245	680
36.269	541	36.295	685
36.321	539	36.346	684
36.371	541	36.396	670
36.422	545	36.448	653
36.472	546	36.498	640
36.523	548	36.549	620
36.574	551	36.599	606
36.625	550	36.650	576
36.675	552	36.700	559
36.726	549	36.752	533
36.776	544	36.802	518
36.827	548	36.853	503
36.878	540	36.903	492
36.929	540	36.954	486
36.979	530	37.005	486
37.030	527	37.056	489
37.080	524	37.106	496
37.132	522	37.157	513
37.182	518	37.207	527
37.233	517	37.259	555
37.283	514	37.309	569
37.334	514	37.360	595
37.385	515	37.410	616
37.436	521	37.461	636
37.486	517	37.511	655
37.537	515	37.563	667
37.587	526	37.613	678
37.638	536	37.664	678
37.689	540	37.714	676
37.740	544	37.765	673
37.790	549	37.816	661
37.841	552	37.867	640
37.891	552	37.917	638
37.943	564	37.968	617
37.993	560	38.018	581
38.044	560	38.070	566
38.094	559	38.120	546
38.145	554	38.171	526
38.196	551	38.221	512
38.247	553	38.272	500
38.297	545	38.322	492
38.348	527	38.374	490
38.398	528	38.424	493
38.449	524	38.475	504
38.500	517	38.525	508
38.551	511	38.576	534
38.601	508	38.627	539
38.652	504	38.678	565
38.702	505	38.728	590
38.754	504	38.779	604
38.804	504	38.829	626
38.855	508	38.881	641
38.905	519	38.931	660
38.956	517	38.982	668
39.007	526	39.032	672
39.058	543	39.083	672
39.108	546	39.134	670
39.159	553	39.185	662
39.209	557	39.235	647
39.260	564	39.286	626
39.311	568	39.336	615
39.362	569	39.387	595
39.413	571	39.438	571
39.463	563	39.489	554
39.514	567	39.539	538
39.565	561	39.590	521
39.616	553	39.640	510
39.666	545	39.692	504
39.717	539	39.742	497
39.767	528	39.793	502
39.819	522	39.843	500
39.869	515	39.894	512
39.920	509	39.945	524
39.970	500	39.996	541
40.021	497	40.046	564
40.071	495	40.097	583
40.123	495	40.147	600
40.173	497	40.198	612
40.224	500	40.249	633
40.274	500	40.300	647
40.325	515	40.350	660
40.376	527	40.401	664
40.427	540	40.451	666
40.477	537	40.503	664
40.528	548	40.553	660
40.578	563	40.604	648
40.630	560	40.654	635
40.680	574	40.705	621
40.731	579	40.756	605
40.781	580	40.807	579
40.832	579	40.857	558
40.882	579	40.908	543
40.934	569	40.958	531
40.984	572	41.009	522
41.035	551	41.060	510
41.085	545	41.111	505
41.136	529	41.161	504
41.187	536	41.212	508
41.238	519	41.262	525
41.288	506	41.314	526
41.339	495	41.364	539
41.389	489	41.415	550
41.441	486	41.465	576
41.491	486	41.516	591
41.542	487	41.567	611
41.592	493	41.618	627
41.643	491	41.668	636
41.694	501	41.719	648
41.745	518	41.769	655
41.795	525	41.820	658
41.846	535	41.871	658
41.896	558	41.922	654
41.947	563	41.972	648
41.998	566	42.023	634
42.049	579	42.073	616
42.099	585	42.125	606
42.150	587	42.175	587
42.200	588	42.226	576
42.252	585	42.276	558
42.302	577	42.327	537
42.353	567	42.378	526
42.403	563	42.429	511
42.454	550	42.480	523
42.505	538	42.530	513
42.556	526	42.581	515
42.606	517	42.631	520
42.657	494	42.683	527
42.707	488	42.733	538
42.758	484	42.784	550
42.809	480	42.834	568
42.860	478	42.885	580
42.910	479	42.936	610
42.961	482	42.987	610
43.011	491	43.037	630
43.063	498	43.088	637
43.113	510	43.138	646
43.164	520	43.190	646
43.214	535	43.240	652
43.265	548	43.291	647
43.316	561	43.341	643
43.367	580	43.392	633
43.417	584	43.442	621
43.468	588	43.494	606
43.518	595	43.544	597
43.569	595	43.595	569
43.620	593	43.645	566
43.671	587	43.696	555
43.721	578	43.747	544
43.772	565	43.798	535
43.822	558	43.848	533
43.874	546	43.899	522
43.924	527	43.949	522
43.975	510	44.001	527
44.025	505	44.051	532
44.076	489	44.102	542
44.127	480	44.152	553
44.178	470	44.203	565
44.228	473	44.254	574
44.279	472	44.305	588
44.329	472	44.355	601
44.380	481	44.406	615
44.431	490	44.456	626
44.482	499	44.507	632
44.532	514	44.558	641
44.583	530	44.609	642
44.633	545	44.659	639
44.685	558	44.710	630
44.735	572	44.760	628
44.786	584	44.812	618
44.836	593	44.862	614
44.887	598	44.913	596
44.938	602	44.963	584
44.989	599	45.014	573
45.039	596	45.065	562
45.090	588	45.116	549
45.140	577	45.166	537
45.191	557	45.217	535
45.242	551	45.267	534
45.293	535	45.318	532
45.343	520	45.369	533
45.394	504	45.420	539
45.444	481	45.470	545
45.496	483	45.521	554
45.546	474	45.571	572
45.597	468	45.623	573
45.647	462	45.673	584
45.698	468	45.724	596
45.749	474	45.774	606
45.800	483	45.825	623
45.850	494	45.876	622
45.901	509	45.927	629
45.951	525	45.977	627
46.002	541	46.028	630
46.053	553	46.078	623
46.104	567	46.129	622
46.154	585	46.180	616
46.205	592	46.231	617
46.255	604	46.281	599
46.307	603	46.332	589
46.357	605	46.382	579
46.408	602	46.434	565
46.458	594	46.484	563
46.509	584	46.535	550
46.560	568	46.585	549
46.611	570	46.636	547
46.661	541	46.687	544
46.712	525	46.738	545
46.762	507	46.788	543
46.814	502	46.839	550
46.864	483	46.889	557
46.915	471	46.940	563
46.965	463	46.991	576
47.016	461	47.042	582
47.066	462	47.092	587
47.118	470	47.143	603
47.168	476	47.193	609
47.219	488	47.245	614
47.269	496	47.295	615
47.320	517	47.346	619
47.371	532	47.396	620
47.422	552	47.447	618
47.472	567	47.498	613
47.523	587	47.549	611
47.573	585	47.599	606
47.625	613	47.650	596
47.675	605	47.700	596
47.726	609	47.751	582
47.776	609	47.802	570
47.827	593	47.853	572
47.877	592	47.903	566
47.929	579	47.954	565
47.979	564	48.004	560
48.030	548	48.056	563
48.080	531	48.106	554
48.131	514	48.157	558
48.182	495	48.207	560
48.233	486	48.258	562
48.283	476	48.309	567
48.334	462	48.360	572
48.384	458	48.410	581
48.436	459	48.461	586
48.486	463	48.511	596
48.537	472	48.562	599
48.587	481	48.613	594
48.638	495	48.664	606
48.688	510	48.714	604
48.740	527	48.765	607
48.790	545	48.815	607
48.841	562	48.867	603
48.891	578	48.917	604
48.942	589	48.968	599
48.993	600	49.018	596
49.044	608	49.069	598
49.094	608	49.120	587
49.145	610	49.171	581
49.195	605	49.221	578
49.247	600	49.272	575
49.297	586	49.322	573
49.348	567	49.374	574
49.398	554	49.424	566
49.449	535	49.475	560
49.499	519	49.525	565
49.551	503	49.576	567
49.601	488	49.626	570
49.652	475	49.678	572
49.702	469	49.728	576
49.753	463	49.779	579
49.804	457	49.829	582
49.855	460	49.880	586
49.905	467	49.931	586
49.956	477	49.982	594
50.006	490	50.032	594
50.058	501	50.083	595
50.108	522	50.133	592
50.159	538	50.185	593
50.209	555	50.235	597
50.260	572	50.286	594
50.310	585	50.336	594
50.362	606	50.387	592
50.412	605	50.437	591
50.463	605	50.489	588
50.513	616	50.539	585
50.564	607	50.590	585
50.615	599	50.640	582
50.666	590	50.691	580
50.716	576	50.742	569
50.767	561	50.793	573
50.817	542	50.843	570
50.869	526	50.894	579
50.919	513	50.944	576
50.970	487	50.996	577
51.020	484	51.046	578
51.071	470	51.097	578
51.121	458	51.147	581
51.173	459	51.198	582
51.223	460	51.248	581
51.274	463	51.300	583
51.324	472	51.350	582
51.375	484	51.401	580
51.427	498	51.451	587
51.477	516	51.502	581
51.528	536	51.553	585
51.578	550	51.604	588
51.629	565	51.654	586
51.680	580	51.705	585
51.731	597	51.755	586
51.781	606	51.807	585
51.832	607	51.857	587
51.882	609	51.908	587
51.934	608	51.958	589
51.984	603	52.009	587
52.035	593	52.059	586
52.085	580	52.111	590
52.136	565	52.161	595
52.186	549	52.212	577
52.238	532	52.262	595
52.288	515	52.313	582
52.339	498	52.364	583
52.389	481	52.415	585
52.440	479	52.465	584
52.491	466	52.516	582
52.542	452	52.566	581
52.592	465	52.618	580
52.643	465	52.668	579
52.693	471	52.719	578
52.745	480	52.769	579
52.795	494	52.820	585
52.846	509	52.870	570
52.896	527	52.922	572
52.947	547	52.972	576
52.997	562	53.023	578
53.049	573	53.073	579
53.099	590	53.124	574
53.150	596	53.175	584
53.200	609	53.226	585
53.251	609	53.276	586
53.302	611	53.327	591
53.353	606	53.377	592
53.403	596	53.429	591
53.454	587	53.479	592
53.504	571	53.530	594
53.556	555	53.580	590
53.606	537	53.631	594
53.657	521	53.681	603
53.707	505	53.733	593
53.758	492	53.783	591
53.808	475	53.834	588
53.860	466	53.884	583
53.910	463	53.935	584
53.961	460	53.986	580
54.011	463	54.037	579
54.062	471	54.087	573
54.113	478	54.138	570
54.164	493	54.188	576
54.214	505	54.240	572
54.265	520	54.290	562
54.315	535	54.341	569
54.367	555	54.391	566
54.417	570	54.442	572
54.468	583	54.492	578
54.518	592	54.544	585
54.569	604	54.595	582
54.619	608	54.645	586
54.671	603	54.696	590
54.721	606	54.746	594
54.772	598	54.798	596
54.822	582	54.848	602
54.873	572	54.899	596
54.924	558	54.949	606
54.975	542	55.000	610
55.025	528	55.051	605
55.076	511	55.102	597
55.126	500	55.152	600
55.178	483	55.203	597
55.228	475	55.253	591
55.279	469	55.305	585
55.329	465	55.355	581
55.380	468	55.406	574
55.430	470	55.456	570
55.482	479	55.507	565
55.532	489	55.557	564
55.583	501	55.609	562
55.633	516	55.659	560
55.684	534	55.710	553
55.735	548	55.760	556
55.786	561	55.811	565
55.836	574	55.862	567
55.887	586	55.913	572
55.937	592	55.963	579
55.989	602	56.014	587
56.039	603	56.064	593
56.090	597	56.116	596
56.140	595	56.166	601
56.191	587	56.217	607
56.241	576	56.267	609
56.293	561	56.318	609
56.343	548	56.368	614
56.394	532	56.420	614
56.444	518	56.470	607
56.495	504	56.521	606
56.546	490	56.571	602
56.597	482	56.622	598
56.647	474	56.673	589
56.698	471	56.724	581
56.748	471	56.774	576
56.800	468	56.825	569
56.850	477	56.875	562
56.901	488	56.927	558
56.951	499	56.977	557
57.002	511	57.028	554
57.052	527	57.078	552
57.104	541	57.129	557
57.154	560	57.179	553
57.205	567	57.231	559
57.255	580	57.281	569
57.306	589	57.332	572
57.357	599	57.382	583
57.408	597	57.433	588
57.458	594	57.484	597
57.509	595	57.535	604
57.559	585	57.585	614
57.611	577	57.636	615
57.661	566	57.686	619
57.712	553	57.738	620
57.762	538	57.788	619
57.813	525	57.839	621
57.863	511	57.889	615
57.915	498	57.940	608
57.965	488	57.990	602
58.016	481	58.042	594
58.066	476	58.092	588
58.117	474	58.143	577
