#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
20.758	452	20.783	679
20.809	468	20.834	663
20.860	483	20.884	645
20.910	504	20.936	622
20.961	528	20.986	601
21.011	551	21.037	572
21.063	574	21.087	549
21.113	598	21.138	526
21.164	619	21.189	511
21.214	633	21.240	495
21.265	644	21.290	482
21.315	649	21.341	486
21.367	650	21.391	481
21.417	640	21.442	493
21.468	634	21.493	504
21.518	619	21.544	521
21.569	595	21.594	543
21.620	571	21.645	565
21.671	556	21.695	591
21.721	532	21.747	616
21.772	508	21.797	632
21.822	482	21.848	659
21.874	468	21.898	677
21.924	457	21.949	679
21.975	448	22.000	688
22.025	445	22.051	693
22.076	453	22.101	688
22.126	455	22.152	674
22.178	471	22.202	663
22.228	492	22.253	640
22.279	510	22.304	618
22.329	529	22.355	594
22.380	558	22.405	569
22.431	581	22.456	544
22.482	599	22.506	524
22.532	619	22.558	507
22.583	636	22.608	493
22.633	645	22.659	485
22.685	652	22.709	479
22.735	649	22.760	486
22.786	641	22.811	486
22.836	625	22.862	511
22.887	613	22.912	525
22.938	594	22.963	548
22.989	573	23.013	570
23.039	548	23.064	595
23.090	527	23.115	613
23.140	498	23.166	640
23.191	482	23.216	660
23.242	469	23.267	673
23.293	453	23.317	684
23.343	443	23.369	686
23.394	447	23.419	687
23.444	451	23.470	686
23.496	460	23.520	672
23.546	475	23.571	646
23.597	493	23.622	633
23.647	517	23.673	608
23.698	538	23.724	589
23.749	561	23.774	565
23.800	585	23.825	542
23.850	602	23.875	522
23.901	625	23.927	506
23.951	645	23.977	491
24.002	645	24.028	487
24.053	648	24.078	486
24.104	646	24.129	490
24.154	630	24.180	498
24.205	627	24.231	518
24.255	609	24.281	530
24.307	590	24.332	544
24.357	567	24.382	572
24.408	543	24.434	595
24.458	520	24.484	621
24.509	499	24.535	642
24.560	479	24.585	661
24.611	461	24.636	673
24.661	453	24.686	682
24.712	446	24.738	687
24.762	448	24.788	685
24.813	449	24.839	678
24.864	464	24.889	662
24.915	478	24.940	650
24.965	499	24.991	635
25.016	519	25.042	602
25.066	543	25.092	584
25.118	567	25.143	564
25.168	588	25.193	537
25.219	608	25.245	524
25.269	625	25.295	504
25.320	638	25.346	496
25.371	645	25.396	492
25.422	647	25.447	489
25.472	645	25.498	496
25.523	638	25.549	503
25.573	619	25.599	518
25.624	610	25.650	536
25.675	584	25.700	553
25.726	562	25.751	585
25.776	539	25.802	599
25.827	515	25.853	622
25.877	494	25.903	647
25.929	477	25.954	663
25.979	461	26.004	674
26.030	453	26.056	682
26.080	449	26.106	684
26.131	448	26.157	682
26.182	463	26.207	674
26.233	466	26.258	662
26.283	480	26.309	644
26.334	499	26.360	626
26.384	523	26.410	599
26.435	547	26.461	580
26.486	570	26.511	557
26.537	592	26.562	533
26.587	611	26.613	518
26.638	627	26.664	507
26.688	641	26.714	492
26.740	645	26.765	488
26.790	648	26.815	485
26.841	643	26.867	498
26.891	632	26.917	508
26.942	613	26.968	524
26.993	602	27.018	543
27.044	580	27.069	563
27.094	564	27.120	586
27.145	537	27.171	608
27.195	507	27.221	629
27.246	491	27.272	647
27.297	472	27.322	662
27.348	461	27.373	675
27.398	453	27.424	677
27.449	449	27.475	686
27.499	449	27.525	680
27.551	458	27.576	670
27.601	470	27.626	657
27.652	485	27.678	640
27.702	504	27.728	620
27.753	523	27.779	598
27.804	557	27.829	576
27.855	575	27.880	559
27.905	591	27.931	534
27.956	613	27.982	519
28.006	627	28.032	507
28.058	640	28.083	496
28.108	645	28.133	492
28.159	645	28.184	486
28.209	641	28.235	500
28.260	629	28.286	519
28.310	610	28.336	525
28.362	595	28.387	547
28.412	573	28.437	569
28.463	554	28.489	593
28.513	528	28.539	613
28.564	509	28.590	633
28.615	488	28.640	645
28.666	480	28.691	663
28.716	460	28.742	675
28.767	451	28.793	682
28.817	451	28.843	679
28.869	452	28.894	671
28.919	461	28.944	666
28.970	473	28.995	655
29.020	489	29.046	634
29.071	512	29.097	614
29.121	531	29.147	594
29.173	549	29.198	572
29.223	574	29.248	555
29.274	601	29.300	536
29.324	608	29.350	517
29.375	619	29.401	508
29.426	638	29.451	497
29.477	645	29.502	494
29.527	647	29.553	497
29.578	639	29.604	505
29.628	628	29.654	519
