#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
26.131	462	26.157	498
26.181	451	26.207	488
26.233	444	26.258	484
26.283	442	26.308	480
26.334	445	26.360	489
26.384	452	26.410	493
26.435	463	26.461	503
26.486	478	26.511	527
26.537	495	26.562	543
26.587	514	26.613	563
26.638	537	26.664	583
26.688	555	26.714	606
26.739	575	26.765	625
26.790	589	26.815	643
26.841	609	26.866	656
26.891	613	26.917	665
26.942	620	26.968	669
26.992	622	27.018	672
27.044	619	27.069	670
27.094	612	27.119	658
27.145	601	27.171	642
27.195	582	27.221	632
27.246	569	27.272	612
27.297	551	27.322	590
27.348	535	27.373	565
27.398	512	27.424	547
27.449	500	27.475	528
27.499	477	27.525	507
27.550	458	27.576	499
27.601	452	27.626	489
27.652	444	27.677	479
27.702	444	27.728	486
27.753	446	27.779	486
27.803	455	27.829	499
27.855	466	27.880	507
27.905	480	27.930	529
27.956	496	27.982	543
28.006	519	28.032	564
28.057	533	28.083	587
28.108	555	28.133	608
28.159	575	28.184	626
28.209	592	28.235	649
28.260	601	28.286	656
28.310	610	28.336	665
28.362	621	28.387	672
28.412	619	28.437	675
28.463	618	28.488	664
28.513	609	28.539	658
28.564	597	28.590	643
28.614	581	28.640	629
28.666	566	28.691	609
28.716	553	28.741	587
28.767	527	28.793	571
28.817	509	28.843	546
28.868	495	28.894	528
28.919	476	28.944	510
28.970	462	28.995	499
29.020	447	29.046	491
29.071	448	29.097	484
29.121	444	29.147	484
29.173	449	29.198	489
29.223	457	29.248	500
29.274	473	29.299	518
29.324	482	29.350	533
29.375	500	29.401	544
29.425	518	29.451	570
29.477	536	29.502	588
29.527	560	29.552	605
29.578	574	29.604	626
29.628	593	29.654	643
29.679	604	29.705	655
29.730	611	29.755	664
29.781	608	29.806	670
29.831	619	29.857	668
29.882	612	29.908	671
29.932	606	29.958	651
29.984	594	30.009	640
30.034	579	30.059	630
30.085	564	30.110	604
30.135	545	30.161	588
30.186	526	30.212	566
30.236	505	30.262	543
30.288	492	30.313	527
30.338	474	30.363	510
30.389	453	30.415	497
30.439	453	30.465	490
30.490	433	30.516	488
30.541	447	30.566	487
30.592	451	30.617	493
30.642	461	30.668	498
30.693	470	30.719	513
30.743	484	30.769	525
30.795	497	30.820	551
30.845	519	30.870	572
30.896	538	30.922	591
30.946	556	30.972	610
30.997	575	31.023	628
31.047	592	31.073	641
31.099	595	31.124	655
31.149	613	31.174	663
31.200	609	31.226	667
31.250	617	31.276	667
31.301	613	31.327	661
31.352	604	31.377	652
31.403	592	31.428	642
31.453	583	31.479	626
31.504	561	31.530	597
31.554	542	31.580	584
31.606	527	31.631	558
31.656	505	31.681	543
31.707	489	31.733	526
31.757	471	31.783	511
31.808	463	31.834	499
31.858	452	31.884	490
31.910	447	31.935	488
31.960	447	31.985	486
32.011	453	32.037	488
32.061	460	32.087	498
32.112	474	32.138	510
32.163	486	32.188	528
32.214	503	32.239	556
32.264	522	32.290	570
32.315	539	32.341	592
32.365	559	32.391	620
32.417	574	32.442	628
32.467	578	32.492	645
32.518	602	32.544	655
32.568	606	32.594	662
32.619	608	32.645	665
32.669	609	32.695	666
32.721	606	32.746	660
32.771	601	32.796	649
32.822	590	32.848	635
32.872	573	32.898	619
32.923	558	32.949	594
32.975	541	32.999	586
33.025	522	33.050	563
33.076	497	33.101	542
33.126	487	33.152	525
33.177	473	33.202	510
33.228	465	33.253	501
33.279	446	33.303	492
33.329	446	33.355	489
33.380	454	33.405	489
33.430	454	33.456	492
33.482	463	33.506	507
33.532	474	33.557	518
33.583	488	33.607	540
33.633	511	33.659	553
33.684	523	33.709	574
33.734	540	33.760	593
33.786	557	33.810	616
33.836	576	33.861	630
33.887	590	33.912	644
33.937	599	33.963	656
33.988	611	34.013	660
34.039	612	34.064	666
34.090	607	34.114	663
34.140	606	34.166	658
34.191	599	34.216	647
34.241	585	34.267	636
34.293	572	34.317	622
34.343	556	34.368	602
34.394	539	34.418	583
34.444	521	34.470	563
34.495	506	34.520	540
34.545	489	34.571	523
34.597	475	34.621	508
34.647	460	34.672	500
34.698	460	34.723	493
34.748	459	34.774	488
34.799	450	34.824	491
34.850	455	34.875	502
34.901	464	34.925	507
34.951	477	34.977	524
35.002	490	35.027	537
35.052	506	35.078	552
35.104	524	35.128	580
35.154	541	35.179	593
35.205	559	35.229	615
35.255	576	35.281	631
35.306	587	35.331	649
35.356	603	35.382	657
35.408	607	35.432	662
35.458	607	35.483	664
35.509	610	35.534	664
35.559	604	35.585	654
35.610	595	35.635	646
35.661	583	35.686	632
35.712	569	35.736	615
35.762	553	35.788	600
35.813	542	35.838	569
35.863	517	35.889	559
35.915	501	35.939	540
35.965	487	35.990	522
36.016	471	36.040	509
36.066	459	36.092	499
36.117	448	36.143	495
36.167	450	36.193	491
36.219	448	36.244	492
36.269	462	36.294	500
36.320	466	36.346	517
36.370	478	36.396	527
36.421	493	36.447	539
36.472	508	36.497	558
36.523	525	36.548	576
36.573	543	36.599	598
36.624	558	36.650	615
36.674	572	36.700	632
36.726	590	36.751	645
36.776	597	36.801	656
36.827	604	36.853	661
36.877	616	36.903	663
36.928	609	36.954	660
36.978	601	37.004	652
37.030	591	37.055	638
37.080	581	37.105	626
37.131	568	37.157	610
37.181	552	37.207	598
37.232	539	37.258	572
37.283	517	37.308	559
37.334	502	37.359	537
37.384	480	37.410	525
37.435	475	37.461	509
37.485	460	37.511	499
37.537	461	37.562	496
37.587	458	37.612	498
37.638	456	37.664	494
37.688	458	37.714	503
37.739	465	37.765	519
37.789	479	37.815	528
37.841	493	37.866	546
37.891	509	37.916	562
37.942	526	37.968	578
37.992	541	38.018	603
