#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
20.353	580	20.377	629
20.403	581	20.428	634
20.454	579	20.479	618
20.504	581	20.530	609
20.555	587	20.580	596
20.606	578	20.631	580
20.657	585	20.681	567
20.707	584	20.733	552
20.758	581	20.783	542
20.808	581	20.834	523
20.860	582	20.884	518
20.910	580	20.935	503
20.961	580	20.986	495
21.011	581	21.037	496
21.062	580	21.087	489
21.112	574	21.138	492
21.164	579	21.188	498
21.214	581	21.239	515
21.265	578	21.290	532
21.315	582	21.341	542
21.366	580	21.391	558
21.417	579	21.442	573
21.468	579	21.492	587
21.518	581	21.544	602
21.569	578	21.594	612
21.619	583	21.645	620
21.671	581	21.695	626
21.721	581	21.746	638
21.772	579	21.797	631
21.822	588	21.848	629
21.873	581	21.898	618
21.924	580	21.949	609
21.975	582	21.999	594
22.025	580	22.050	580
22.076	580	22.101	567
22.126	585	22.152	550
22.177	575	22.202	537
22.228	582	22.253	524
22.279	582	22.303	513
22.329	583	22.355	503
22.380	581	22.405	502
22.430	583	22.456	497
22.482	581	22.506	496
22.532	577	22.557	507
22.583	581	22.608	508
22.633	577	22.659	518
22.684	575	22.710	531
22.735	579	22.760	543
22.786	580	22.811	559
22.836	581	22.861	572
22.887	585	22.913	588
22.937	579	22.963	602
22.988	580	23.014	610
23.039	578	23.064	620
23.090	579	23.115	625
23.140	580	23.166	628
23.191	575	23.217	625
23.241	581	23.267	618
