#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
20.606	561	20.632	507
20.656	559	20.682	527
20.707	562	20.733	558
20.757	560	20.783	575
20.809	558	20.834	591
20.859	561	20.884	607
20.910	555	20.936	613
20.960	561	20.986	614
21.011	562	21.037	613
21.062	561	21.087	607
21.113	563	21.138	599
21.163	561	21.189	576
21.214	561	21.240	560
21.264	562	21.290	534
21.316	559	21.341	521
21.366	559	21.391	489
21.417	560	21.443	473
21.467	561	21.493	450
21.518	558	21.544	432
21.569	560	21.594	420
21.620	559	21.645	413
21.670	563	21.695	408
21.721	553	21.747	414
21.771	560	21.797	417
21.822	558	21.848	435
21.873	559	21.898	445
21.924	560	21.949	467
21.974	559	22.000	486
22.025	559	22.051	510
22.075	559	22.101	532
22.127	560	22.152	554
22.177	560	22.202	580
22.228	561	22.254	590
22.278	559	22.304	603
22.329	568	22.355	611
22.380	556	22.405	616
22.431	560	22.456	613
22.481	559	22.506	604
22.532	560	22.558	592
22.582	560	22.608	580
22.633	560	22.659	554
22.684	561	22.709	538
22.735	560	22.760	518
22.786	560	22.811	493
22.836	559	22.862	468
22.887	559	22.912	448
22.938	555	22.963	433
22.989	559	23.013	420
23.039	557	23.065	411
23.090	558	23.115	411
23.140	563	23.166	413
23.192	560	23.216	419
23.242	559	23.267	434
23.293	558	23.317	450
23.343	562	23.369	469
23.394	560	23.419	494
23.444	559	23.470	513
23.496	558	23.520	529
23.546	559	23.571	553
23.597	564	23.622	572
23.647	559	23.673	589
23.698	561	23.723	606
23.749	559	23.774	610
23.800	560	23.824	618
23.850	560	23.876	610
23.901	560	23.926	602
23.951	561	23.977	591
24.003	559	24.027	574
24.053	561	24.078	558
24.104	560	24.129	537
24.154	561	24.180	511
24.205	559	24.230	492
24.255	560	24.281	473
24.307	559	24.331	449
24.357	557	24.382	434
24.408	558	24.433	421
24.458	567	24.484	415
24.509	563	24.534	412
24.560	558	24.585	412
24.611	562	24.635	423
24.661	557	24.687	435
24.712	559	24.737	450
24.762	559	24.788	464
24.814	559	24.838	488
24.864	560	24.889	514
24.915	560	24.940	539
24.965	565	24.991	554
25.016	561	25.041	575
25.066	556	25.092	591
25.118	563	25.142	600
25.168	557	25.193	609
25.219	564	25.244	611
25.269	551	25.295	607
25.320	559	25.345	599
25.371	560	25.396	586
25.422	560	25.446	568
25.472	561	25.498	555
25.523	560	25.548	534
25.573	559	25.599	512
25.625	559	25.649	488
25.675	560	25.700	466
25.726	557	25.751	446
25.776	559	25.802	434
25.827	556	25.853	422
25.877	563	25.903	416
25.929	560	25.954	414
25.979	550	26.004	418
26.030	557	26.056	425
26.080	561	26.106	437
26.131	563	26.157	454
26.182	552	26.207	475
26.233	560	26.258	494
26.283	559	26.309	513
26.334	563	26.360	543
26.384	560	26.410	558
26.436	560	26.461	574
26.486	561	26.511	589
26.537	566	26.563	602
26.587	553	26.613	607
26.638	553	26.664	606
26.689	566	26.714	606
26.740	567	26.765	599
26.790	556	26.815	584
26.841	566	26.867	565
26.891	560	26.917	550
26.942	560	26.968	532
26.993	559	27.018	509
27.044	559	27.069	487
27.094	560	27.120	472
27.145	559	27.171	452
27.195	559	27.221	437
27.247	560	27.272	424
27.297	558	27.322	417
27.348	560	27.374	415
27.398	556	27.424	419
27.449	557	27.475	428
27.500	562	27.525	440
27.551	563	27.576	456
27.601	562	27.626	469
27.652	557	27.678	493
27.702	560	27.728	518
27.753	560	27.779	538
27.804	561	27.829	557
27.855	558	27.880	577
27.905	560	27.931	590
27.956	561	27.982	599
28.006	560	28.032	604
28.058	558	28.083	607
28.108	560	28.133	604
28.159	562	28.185	596
28.209	561	28.235	582
28.260	563	28.286	567
28.311	560	28.336	556
28.362	560	28.387	533
28.412	559	28.437	502
28.463	558	28.489	478
28.513	559	28.539	464
28.564	561	28.590	442
28.615	559	28.640	433
28.666	559	28.691	425
28.716	558	28.742	419
28.767	561	28.793	419
28.817	563	28.843	424
28.869	558	28.894	431
28.919	562	28.944	443
28.970	559	28.996	458
29.020	563	29.046	478
29.071	560	29.097	499
29.122	561	29.147	523
29.173	560	29.198	537
29.223	559	29.249	560
29.274	559	29.300	581
29.324	557	29.350	594
