#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
55.633	498	55.658	479
55.684	490	55.709	473
55.734	498	55.760	466
55.785	496	55.810	464
55.836	498	55.861	460
55.887	494	55.911	458
55.937	497	55.963	454
55.988	497	56.013	471
56.038	487	56.064	460
56.090	497	56.114	467
56.140	494	56.165	473
56.191	495	56.215	475
56.241	492	56.267	486
56.292	498	56.317	493
56.342	495	56.368	498
56.394	496	56.418	503
56.444	496	56.469	509
56.495	491	56.520	515
56.545	497	56.571	515
56.596	497	56.621	521
56.647	498	56.672	518
56.698	497	56.722	515
56.748	501	56.774	518
56.799	498	56.824	506
56.849	496	56.875	503
56.901	497	56.925	498
56.951	497	56.976	492
57.002	498	57.026	487
57.052	492	57.078	478
57.103	500	57.129	475
57.153	493	57.179	468
57.205	494	57.230	461
57.255	497	57.280	461
57.306	496	57.332	457
57.356	496	57.382	453
57.407	495	57.433	464
57.458	497	57.483	465
57.509	497	57.534	469
57.559	497	57.585	477
57.610	495	57.636	480
57.660	494	57.686	487
57.712	497	57.737	498
57.762	491	57.787	499
57.813	498	57.839	505
57.863	497	57.889	510
57.914	496	57.940	512
57.964	497	57.990	517
58.016	488	58.041	519
58.066	497	58.091	512
58.117	497	58.143	515
