#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:55:44 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
17.716	709	17.742	572
17.767	704	17.793	581
17.818	694	17.843	576
17.869	678	17.894	573
17.919	662	17.945	572
17.970	636	17.996	573
18.020	609	18.046	572
18.072	585	18.097	574
18.122	553	18.147	574
18.173	517	18.199	576
18.223	504	18.249	572
18.274	484	18.300	572
18.325	472	18.350	567
18.376	464	18.401	573
